Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,Environment
G106,217.1918,175.7918,180.4221,203.8755,215.2191,162.4627,192.0921,156.1749,219.124,185.0747,183.1062,196.9344,184.862,181.1407,199.367,212.0615,204.2989,194.8428,198.3098,215.4941,188.5649,187.0638,211.4731,206.3562,201.2772,241.6337,230.2709,209.69,182.9719,193.0768,179.1073,213.9643,188.3599,205.5597,188.0585,209.193,190.9767,208.4419,192.5008,159.5568,195.7423,217.929,204.4491,169.544,192.8077,208.995,204.1628,203.6712,200.7756,180.0795,201.6406,223.5714,183.4357,199.2464,178.5567,189.8826,239.5861,220.7705,205.7924,204.9571,Environment_0
G107,177.6338,194.7045,164.2055,210.6897,231.567,215.6889,186.0541,221.6352,197.6557,173.1961,195.6657,201.8895,189.0831,192.9717,186.9473,200.0502,206.4728,193.155,168.1309,221.1945,187.0841,179.2516,180.0372,194.2289,146.8236,174.0163,186.1083,196.1073,192.8475,192.6838,169.378,200.462,210.4018,178.9795,229.3304,220.1936,163.5774,190.8548,166.9824,177.0213,189.616,182.503,181.9645,182.6445,194.4794,190.7259,203.931,224.1862,168.5006,226.6644,201.3699,201.6146,171.1982,189.2653,186.3118,190.364,217.7157,186.7691,205.8638,201.8189,Environment_0
G108,188.3443,192.4724,191.4355,170.4377,221.9266,204.8563,225.4086,184.3998,193.6904,204.0322,217.7053,208.5509,208.608,203.2163,199.2016,200.7097,194.1024,218.0296,192.628,225.1787,206.056,217.8117,195.4328,204.4018,201.0893,186.1578,192.4122,202.3648,166.2866,200.8428,199.1076,162.8756,198.0136,197.0496,226.8317,186.4746,183.3932,163.6332,206.0171,184.1768,222.6703,206.2107,187.9771,175.2256,193.246,203.2568,159.0553,231.3222,174.9297,184.1301,210.2912,212.5782,199.6096,188.6226,213.5819,180.653,202.6041,189.2381,191.9522,205.3567,Environment_0
G109,205.3783,213.4836,230.3591,198.5914,249.687,219.6008,207.4866,199.8197,191.0874,195.0517,204.8345,207.403,187.0215,206.9616,202.6232,211.8727,211.085,231.6599,221.6425,206.6445,222.3166,174.968,210.1303,212.8446,218.8683,206.0316,209.2069,201.3571,231.9222,209.1665,217.7905,203.4759,218.3934,218.6358,215.224,189.7043,193.7196,221.9647,199.9989,215.3748,151.6786,221.77,194.9176,189.132,215.0876,207.8961,218.2114,223.3652,186.2369,222.288,232.6566,209.453,167.4291,224.1662,179.1756,232.6471,229.6662,222.1119,215.5481,241.4585,Environment_0
G110,163.031,203.6155,193.8945,195.9462,191.2955,189.2894,200.112,175.533,186.2092,171.4066,197.383,197.2689,212.8254,225.2134,199.345,184.4981,221.336,194.975,198.6076,209.9037,232.7976,213.187,193.6376,216.3452,175.8613,214.5079,218.507,213.1346,219.5172,210.8756,205.2262,206.8706,210.8451,208.9858,215.3659,206.9848,198.122,218.5496,202.9574,210.7919,200.8291,215.4528,187.9351,211.9502,173.321,223.6534,190.9327,189.4098,211.5029,197.733,213.7195,189.9383,185.3324,186.1493,211.716,209.4884,211.9052,194.8376,232.5605,233.489,Environment_0
G111,202.5991,255.4044,220.6744,214.6726,245.3279,206.7807,216.7564,203.5913,185.7755,214.1284,236.789,196.0595,225.1333,194.0713,228.4578,206.9967,221.519,224.0802,236.7667,187.9075,233.341,213.0667,177.6808,189.9386,202.105,200.9817,219.2026,188.8824,189.4678,181.3832,249.4308,170.8603,225.3634,189.46,170.5812,227.7034,194.3861,217.5919,207.4063,237.2031,196.9378,240.1328,201.2437,207.3199,184.7561,223.1245,215.3737,201.5497,200.1855,199.4693,217.4202,237.5367,202.2793,212.7395,220.3731,198.9329,242.8203,214.6815,202.1055,209.0969,Environment_0
G112,221.3201,200.4193,210.0137,205.765,219.1246,230.1828,183.8672,191.7195,220.0982,228.4955,207.9131,200.9324,202.2981,211.559,197.5768,197.7873,193.9314,196.6745,230.2099,217.2478,202.2766,187.889,178.2526,210.7747,205.3843,203.3692,196.1908,218.0015,198.3433,195.7097,201.539,220.6355,213.6064,227.3309,212.9836,219.3636,237.2706,239.3635,213.44,205.4266,201.8383,213.7358,213.6075,203.5172,208.5443,193.1186,205.1069,224.9365,211.5131,198.8335,188.2909,199.0706,193.5827,196.06,199.7018,188.621,207.9801,207.8179,197.5714,232.0503,Environment_0
G113,234.691,184.2717,214.0346,186.3312,234.0059,214.6139,230.5399,210.8921,212.1444,224.8243,176.9178,217.7445,223.5681,199.9525,218.0945,207.1969,215.6409,218.755,233.4766,215.5113,195.8425,222.4391,199.5432,199.0062,260.2235,234.8235,227.9279,198.5831,207.4559,222.1267,220.4811,235.9803,242.6477,232.2801,234.1904,184.0662,211.4387,175.1658,230.1271,191.4339,207.7682,177.2122,234.1587,223.5445,194.8123,203.5249,234.6997,238.1043,222.3022,230.352,221.4327,231.6995,211.3833,175.3418,225.323,245.4812,202.8067,216.9127,171.054,209.5073,Environment_0
G114,196.0027,221.3537,187.1435,200.752,196.1649,184.3615,228.3913,185.2007,218.1464,218.4119,204.4076,183.4607,200.4833,203.6887,223.1628,192.4877,205.7813,176.2226,179.4529,208.0605,186.0845,182.7163,207.2575,197.4603,210.9736,212.5744,202.8591,205.4013,190.2942,197.8068,203.439,223.6089,189.45,218.6268,207.174,212.3573,203.8781,208.8713,184.9673,190.3565,192.6767,193.2792,202.5483,222.5001,236.3257,180.3365,200.6486,195.1758,222.8021,178.4039,205.2878,183.7338,175.8356,206.7887,231.3134,210.3828,202.6093,186.9166,217.6225,209.1902,Environment_0
G115,157.9478,167.6187,239.305,168.7096,193.9164,194.8403,209.6922,198.4518,199.6042,201.762,220.5721,230.1752,190.0208,243.333,217.8975,203.5443,202.4789,165.3966,216.4087,223.8774,200.0681,176.5822,248.2397,193.8239,217.2359,178.6892,210.44,215.4271,196.4975,211.2579,165.4098,212.1546,199.7581,219.735,178.4488,198.3982,201.9405,186.5059,210.1142,210.1543,218.1091,191.7308,193.8622,192.3337,175.9731,222.0749,205.6387,171.7506,211.9259,208.8825,212.2062,210.986,239.0563,227.8817,216.6513,248.4165,190.1128,186.7588,169.8398,236.5705,Environment_0
G116,178.4492,194.6888,179.7208,177.4355,217.7214,202.0904,186.3874,196.6141,191.5043,220.1929,186.9452,228.3231,200.6525,192.5944,198.4799,208.0953,179.933,188.5852,177.1114,188.6706,190.7412,187.0025,187.6461,150.373,182.5832,233.495,203.2957,223.966,189.0848,194.2447,201.2769,131.6968,180.8656,204.1207,188.6456,190.4087,204.7245,192.5448,207.0339,189.42,184.9671,170.9075,207.5393,200.8211,222.5038,194.0935,222.6731,210.5259,208.1647,174.2252,198.7198,128.7942,190.4125,197.8418,178.7517,188.0745,165.4585,222.2218,175.4395,164.3144,Environment_0
G117,206.8588,219.2704,210.2067,257.3113,215.9781,217.7246,214.5104,177.6534,208.5197,198.2395,199.8481,182.6987,192.5326,230.6505,198.4792,212.8802,177.0633,226.7921,188.6425,212.2566,199.5328,207.552,245.073,198.8627,197.8761,223.586,226.5836,198.2489,189.0829,178.0293,213.1929,201.0973,205.8243,226.4765,191.7128,203.4553,188.8575,224.4844,212.0472,229.9615,198.5848,198.7778,201.1634,205.1697,217.932,211.7958,212.7399,228.7226,178.8837,191.0586,211.754,201.5206,202.3309,196.4188,211.8044,198.3491,217.1869,204.8794,244.0895,229.6288,Environment_0
G118,216.5965,199.4814,206.5784,243.6845,236.5394,231.6701,201.9642,213.2848,257.9926,206.9895,218.7394,219.5389,220.0554,209.8124,211.0713,227.4739,260.4376,216.9495,195.1297,198.0678,204.6271,231.2495,167.2648,197.0656,217.836,219.194,235.0342,193.6917,195.0425,231.5021,219.8463,201.5256,201.6846,217.5299,208.547,207.7654,222.5084,251.1042,225.1264,191.3082,223.4346,235.1667,171.4577,223.3399,210.7124,197.9439,260.5815,215.63,208.5548,192.4129,198.9768,187.505,183.0412,205.3516,231.6437,210.8534,206.1762,207.7274,213.1768,215.2134,Environment_0
G119,196.1327,168.0263,195.7724,192.0771,162.2529,194.9274,214.4405,157.6147,190.0746,164.4441,179.4511,205.9191,191.3459,204.1404,202.793,215.2151,199.0306,222.6747,134.6945,187.676,190.4097,186.68,178.9079,206.3667,190.152,195.313,190.5805,164.0299,176.4125,173.2562,202.9579,173.9006,193.2921,170.5058,212.3855,181.8767,217.2649,202.4228,188.2374,190.8678,167.3496,167.847,207.7504,216.2336,184.9259,219.1494,220.8575,206.424,201.1941,234.7603,201.9515,205.5474,202.3008,223.7115,201.4455,214.9793,212.9825,222.6231,254.3601,180.2735,Environment_0
G120,193.1947,214.8037,199.4998,178.0183,180.9599,189.4381,187.6532,204.4723,188.4566,202.7629,211.995,222.5635,199.15,183.644,184.9135,191.9128,218.5249,195.8163,187.9339,210.9283,204.102,201.417,200.9623,180.9098,211.0772,181.2047,172.3981,196.756,205.9584,226.4203,206.5413,245.1822,244.9639,184.5709,161.4747,204.2618,192.7357,213.7195,198.075,202.8661,190.0198,218.9681,179.0496,175.8967,205.7523,181.6656,200.1799,182.0234,210.4124,189.6789,185.7321,175.5616,196.4064,177.3424,219.9246,152.9016,184.5011,178.3923,189.0638,184.3485,Environment_0
G1,15.8041,15.2516,17.2375,15.8761,17.5236,16.0581,16.1501,16.1272,14.8234,17.1834,15.3492,17.8657,14.3987,16.9391,17.1876,17.6513,19.1903,16.2436,16.1958,16.9421,16.6865,16.3629,16.3521,17.7135,14.3619,18.3837,17.2229,15.519,16.1282,17.055,18.4925,16.425,16.0446,18.572,17.3811,13.6876,14.4817,16.879,16.3885,19.4652,16.5354,18.4612,18.939,16.3462,16.8249,17.0142,16.1947,17.2963,15.1221,16.3966,18.1497,16.9754,16.4337,15.8008,17.2218,16.0384,18.5812,17.0196,18.6407,16.7056,Environment_1
G2,20.4483,18.6933,20.6618,18.9097,20.398,18.6727,20.5988,18.5715,19.2575,18.6476,19.0985,19.8788,19.7622,20.6031,17.2896,19.9565,19.5348,19.2794,19.1655,18.1815,18.6618,17.4806,19.3142,20.096,19.9757,19.7176,19.6803,19.5242,20.5207,20.218,20.0405,20.5911,20.2891,19.0538,19.9846,20.2543,20.8151,20.1686,19.9768,18.8834,20.0711,20.861,20.3632,18.3686,19.896,17.9448,19.7021,19.5906,19.9323,19.3471,21.5542,18.7309,21.6193,18.8728,20.2708,21.3809,21.6921,19.9971,20.1603,20.7948,Environment_1
G3,22.5901,19.1263,20.8054,20.3073,20.772,20.2438,18.7423,19.4756,18.8111,19.5785,17.4369,21.7347,18.3002,19.8498,19.7376,20.7332,20.7856,20.0313,18.4884,19.8691,19.701,19.2688,18.9818,20.0377,19.5687,19.7165,20.0008,18.3515,18.8943,20.6971,19.7078,22.1677,20.2675,19.0941,19.7787,19.4006,19.284,18.1526,19.9177,18.2905,21.2033,20.5723,19.9636,18.6435,18.6238,18.5906,18.5902,18.1218,19.1425,18.5219,21.7608,18.3439,20.8104,19.8588,19.8334,20.0574,20.1653,18.5874,19.7055,18.7407,Environment_1
G4,16.6855,17.8476,18.7335,19.887,17.4093,18.8459,17.9507,14.7417,16.8135,16.1428,16.7814,17.5446,20.0933,17.4227,16.6565,17.2299,17.3791,16.8298,18.05,16.2767,17.2282,17.2155,16.8581,18.5844,17.7115,18.3355,15.9955,16.2591,17.5436,19.7326,16.7813,20.1521,18.3,16.663,18.2602,17.7792,14.7022,17.748,16.3755,18.798,17.2326,18.8933,18.409,17.9179,17.165,18.0202,17.1303,17.5007,16.1833,17.8751,18.8246,16.1286,18.4181,17.2131,17.9642,15.2031,17.205,20.6457,18.9654,19.9634,Environment_1
G5,18.2021,16.6863,18.0379,18.0621,18.6801,17.2626,16.6331,16.9437,17.3396,16.7775,17.6628,15.3351,16.4062,16.3279,17.2158,16.3457,17.7827,16.6048,19.0421,15.9436,18.4922,17.2154,19.696,18.5883,19.8302,15.665,17.8645,17.4968,17.3126,17.6437,16.4163,16.911,17.0247,18.0016,15.787,17.8943,16.0819,17.2283,17.2064,17.4886,16.9459,19.0939,16.2699,17.0806,18.9699,19.3644,18.0501,18.721,17.3713,18.5319,19.5038,17.2214,17.5923,18.2598,18.8581,17.2421,14.3071,17.7783,16.2788,18.0107,Environment_1
G6,16.7766,16.8491,17.9055,15.8421,15.388,16.0008,15.2602,17.4746,16.4327,19.265,16.8761,16.4769,17.356,15.6797,17.3711,16.8677,16.5136,18.028,18.255,17.0735,19.0447,18.4332,18.33,17.2857,16.233,15.5994,16.8856,17.6124,15.7733,17.5622,17.0183,15.1433,16.1486,15.8866,17.1243,17.4022,15.8181,15.4856,17.4368,15.4978,16.1514,17.0595,16.2685,16.6082,17.4029,17.3736,14.9722,16.1572,16.4469,14.6826,18.0707,16.411,16.4341,16.0835,15.4418,17.1812,17.3892,14.7673,17.3178,17.1111,Environment_1
G7,19.6508,19.6708,20.1609,20.2576,20.2516,19.3066,19.0272,20.3489,19.9486,19.729,19.4062,18.1679,20.0418,19.7976,19.6218,18.5338,17.1548,20.3778,18.5356,18.5897,20.3381,18.731,18.945,17.1595,19.3492,16.4716,17.7711,18.0906,19.1504,17.7175,17.4727,20.0694,17.6085,17.7877,17.9123,17.8783,18.8627,18.6637,18.5462,17.574,21.3109,18.9446,19.5795,19.201,18.2829,19.1251,18.9727,17.5854,19.6626,18.8379,18.594,17.9051,18.5633,17.2357,19.8375,19.8821,18.9616,20.0728,18.9081,17.754,Environment_1
G8,19.9583,17.2675,19.1239,19.2778,20.0776,19.5353,21.0625,19.2207,17.6962,20.0629,17.8839,17.2818,18.0126,18.4265,17.3562,19.4154,22.1302,18.8877,18.9044,17.852,17.3212,18.6895,20.0036,18.557,18.1571,17.3826,18.7238,18.5168,19.5111,19.9071,18.5835,19.0119,18.1075,18.7389,18.2796,18.4004,18.803,18.487,18.8373,17.8814,20.6475,18.4989,17.4089,19.1215,18.64,17.8038,21.5557,18.1309,18.9517,19.8376,20.1004,16.7035,17.4825,19.7451,21.185,18.5384,18.4608,21.4708,18.944,17.3419,Environment_1
G9,20.3453,18.4483,18.6987,18.6263,20.2486,18.8166,20.5687,19.6789,19.1096,20.3954,20.6195,21.4818,18.8626,19.8385,17.8891,19.1744,18.6646,19.5882,18.4996,20.1799,19.3883,18.7378,19.79,20.9342,18.6716,18.4992,18.4864,19.3613,19.1694,20.9152,20.2792,18.4426,21.4415,20.5711,19.4624,17.8144,18.05,19.3206,20.4532,18.8822,19.4781,18.8703,18.1844,20.4678,20.0968,18.9786,19.6405,20.5434,20.9214,20.8462,19.2961,20.5637,18.923,18.2569,19.4765,18.8614,19.2859,18.372,18.6993,20.7365,Environment_1
G10,18.7658,19.4246,18.4028,17.1337,17.3344,17.3891,19.8866,20.4773,18.1302,18.6923,18.5341,15.6413,19.0454,20.0668,17.4544,18.7815,16.9226,18.5461,18.8323,17.5977,17.5806,17.2417,18.5658,18.6576,19.2386,17.3951,18.7725,18.2166,18.5975,18.1936,16.9157,20.7235,17.6938,17.3671,18.2004,18.2549,17.0705,18.2537,18.7994,18.1201,17.6868,19.6949,18.2481,20.3215,17.0983,18.8149,16.7489,18.4098,17.1803,19.3619,17.1351,15.9794,17.0263,19.1696,18.4298,17.295,18.2339,16.9021,18.6602,18.3131,Environment_1
G11,18.5039,18.9391,19.6421,18.5181,18.5751,17.4827,19.3844,17.8177,18.5965,19.9685,18.4973,20.0975,18.5882,19.9387,18.1053,17.2901,18.859,19.1601,19.6017,19.3925,18.8031,19.53,19.8439,17.9911,18.408,16.5553,18.0801,17.4854,19.2932,17.5117,18.7053,19.779,20.2189,19.2831,19.0159,22.67,18.9875,18.6998,19.777,19.1615,18.5045,19.38,19.6001,19.463,19.2008,18.4139,20.0273,20.1933,18.1998,19.5835,20.0109,18.1597,18.5491,17.4844,20.5263,18.5626,19.268,20.5008,20.1184,17.4929,Environment_1
G12,17.0776,18.8926,17.97,18.1495,14.9462,16.9406,17.8262,17.4467,17.2223,18.1883,17.3146,19.5308,19.2052,16.8868,18.076,20.5301,17.6894,16.3522,17.605,17.2542,18.7039,15.9085,16.7122,17.143,16.9814,16.5173,16.434,18.1,18.9838,17.6813,17.0578,17.8136,17.4349,17.5897,18.7475,17.1147,17.2136,18.1665,20.1481,17.1717,15.6854,17.6599,17.4571,17.4307,18.5455,17.7445,17.381,17.986,17.2329,17.2838,17.6898,19.3866,17.082,17.0171,17.6789,17.6784,17.0587,18.8019,18.8888,18.2409,Environment_1
G13,17.9392,19.636,17.6313,19.3184,20.6711,17.9263,16.7559,17.8083,18.2497,17.1781,17.0567,18.5025,16.8699,17.2767,19.6756,19.1584,16.3872,18.1934,17.9707,18.3087,17.8894,18.2311,18.9315,20.572,18.338,19.0837,18.7052,18.4419,18.2082,18.8832,18.317,18.2877,18.0542,16.6705,16.4144,18.4124,16.8919,17.1057,19.3795,18.1925,18.7473,16.9932,17.6209,20.4336,19.0901,20.3233,18.4055,17.9973,20.4787,16.8348,18.7987,18.4381,16.8021,17.8013,16.2867,19.5082,17.4017,18.2872,17.2938,19.1229,Environment_1
G14,16.7384,17.4974,18.8253,17.8688,18.5512,17.5207,18.4235,17.4415,19.2726,19.1709,18.2379,17.4161,18.738,19.0478,15.3117,16.0696,18.7856,17.2742,18.1348,18.1566,17.9959,17.7787,17.7169,16.7443,17.3846,19.6308,16.7549,19.8821,18.4419,18.2252,17.6307,19.4273,18.2344,16.4231,17.7818,16.9652,18.3829,16.8334,19.3929,19.5127,17.698,18.163,16.353,17.993,17.8969,17.5413,18.3804,17.7031,18.7818,17.8947,17.4278,18.0171,18.5149,17.3539,17.6285,18.0044,17.9646,17.1796,18.0506,19.3054,Environment_1
G15,16.9504,18.5436,16.6626,16.186,19.6633,18.6179,16.989,16.5794,17.789,18.3553,17.9297,16.9337,18.0233,17.7039,17.0699,16.7372,16.8914,17.7012,19.4867,18.8782,18.1437,16.742,17.0171,18.132,17.7643,16.888,17.3932,19.4335,16.5678,16.9759,18.5331,17.1635,16.9298,16.6846,17.8673,17.5941,16.8697,16.4751,17.8079,17.3367,16.3464,16.3694,15.9684,16.5074,17.5623,17.7602,20.4709,16.4436,15.2344,18.7368,17.1591,17.8502,18.6825,18.693,16.9938,17.8152,18.9418,15.6949,18.0593,16.2982,Environment_1
G16,17.6298,17.2207,18.5942,19.3796,19.0597,16.9573,19.129,18.2728,17.5694,18.4371,17.5153,17.9853,16.8153,18.7626,19.486,16.9288,16.4504,18.0971,16.8032,18.9167,18.3482,15.7376,18.3679,16.6023,19.0307,18.5065,17.9336,17.2047,17.5923,16.8035,17.0941,17.9707,16.9302,16.9753,18.441,18.2992,17.2982,17.2677,17.8066,18.868,18.689,18.3501,17.3474,15.9201,19.3508,18.9625,17.7918,17.4019,16.8894,17.0008,19.2774,16.6255,18.5644,18.6357,17.2092,18.1342,17.8524,16.5814,18.6423,18.1692,Environment_1
G17,19.1075,16.8409,19.3072,17.686,19.9535,18.7179,18.1042,17.7737,18.2737,18.5027,17.6036,18.5641,19.1906,18.2651,20.1351,18.5755,17.9875,19.5031,18.9955,19.3904,19.8158,19.6629,19.4961,18.7903,20.1535,18.6684,19.5108,19.9801,16.9127,19.1418,18.6172,18.7146,18.5313,20.0207,17.4663,19.7347,18.8612,20.0354,20.282,18.9394,19.5685,20.944,17.5567,19.995,20.1042,19.5834,18.6849,19.486,19.4285,18.3963,18.8516,20.0532,17.9165,17.5596,19.1047,19.6831,18.4266,18.0055,17.7388,18.3024,Environment_1
G18,15.2133,17.1556,16.6546,17.5093,17.3777,16.0838,15.5171,16.9897,18.0809,18.941,13.7291,15.8315,16.7148,16.2646,16.1051,18.9961,16.3826,18.1435,16.8181,16.378,17.3443,15.0104,16.0994,17.3936,19.1579,17.2378,16.1923,15.5038,17.0506,17.9742,15.9651,18.2159,18.2767,15.1815,15.8814,16.6717,16.5853,14.4841,15.5931,16.9986,18.5911,18.1238,17.2912,15.5712,18.7857,16.0518,15.9142,17.6882,16.2436,17.6565,17.7869,18.4429,16.6975,16.2418,17.5397,15.0349,17.1292,16.2452,16.0005,15.8378,Environment_1
G19,17.9525,18.6084,19.1873,15.668,15.645,18.5677,19.0358,20.3119,17.7699,18.6494,18.4358,19.8054,16.6403,17.2953,18.0497,17.6064,18.8291,19.3826,18.4494,19.1729,18.885,19.513,16.4174,18.5562,19.3027,18.0044,16.5362,17.8754,17.1605,17.6035,19.2915,18.3193,19.7094,19.1351,19.952,18.7515,17.6873,18.1606,17.4272,19.1861,18.02,18.6993,19.4928,19.0115,19.1868,18.4499,17.609,17.4208,18.6277,17.9645,20.1449,18.8261,20.2164,18.8813,17.4355,16.7953,18.7628,18.4499,18.3879,18.7196,Environment_1
G20,18.8486,16.5582,18.0331,17.9654,17.9372,17.261,19.4752,17.0867,19.8647,16.7089,18.5562,17.5604,18.2831,19.1249,18.1162,18.9478,17.6434,19.4441,17.6609,18.5626,16.5394,19.1697,17.9145,19.0743,18.8187,18.1233,18.166,17.2728,18.8948,19.605,19.4348,19.2873,18.3255,18.7413,17.5184,16.0267,19.0235,18.8311,19.584,19.0415,18.2358,18.5091,18.7376,17.9967,18.9501,16.8837,17.4528,18.3634,19.2272,19.3208,18.6295,18.1009,17.4382,19.2075,18.538,18.681,19.4765,19.3327,18.3586,18.3209,Environment_1
G21,17.3475,18.1059,16.4214,17.8832,16.3881,18.5901,18.3218,18.5668,16.8136,16.8419,16.9574,17.0146,17.7334,16.9813,16.2954,17.8495,18.484,17.3268,17.6193,19.7197,17.9878,18.5322,16.807,17.304,17.2081,19.6127,18.7781,19.0459,18.0576,17.0707,16.7581,17.6412,17.5573,17.9802,19.7136,16.8327,18.4982,17.1056,16.6077,17.9849,17.5992,19.3356,15.9486,19.1322,16.7627,18.9105,19.9117,16.4164,16.8234,18.1763,17.1227,18.3763,17.6532,17.9675,18.3194,15.8155,17.0465,14.6461,17.9567,17.7723,Environment_1
G22,19.9521,17.6835,17.85,19.786,19.3376,17.64,21.0077,17.6878,18.1583,17.4175,18.2986,16.6632,19.1894,18.4848,18.9752,21.2129,19.7323,19.6314,18.6738,17.9189,19.6882,20.2915,18.3526,18.6051,18.3517,19.517,18.2133,19.6705,19.8558,17.9841,19.32,17.6907,20.4489,18.2745,18.8013,18.5621,18.2048,19.6424,17.9493,20.0713,19.9747,18.6173,19.8231,19.1102,19.0695,19.2093,19.3842,18.7012,19.2077,19.6514,19.0753,20.2021,18.2264,19.2606,18.8227,19.8475,18.5956,19.9121,20.118,18.8223,Environment_1
G23,19.2849,18.2357,19.7013,18.1459,17.7897,18.5662,18.3403,18.7193,20.1242,18.0396,19.6571,18.5874,19.6809,18.1947,16.4219,17.973,16.2274,17.9074,18.1578,20.5546,17.7723,18.7961,17.3995,18.1522,16.574,20.4391,18.0886,19.9776,19.3322,18.8114,17.8629,16.3501,18.6027,16.8436,19.9798,18.0145,19.1447,18.0752,18.6056,16.3795,19.0042,18.9946,19.971,17.9649,18.1495,17.9096,17.0087,19.0426,19.0865,17.3119,17.4433,17.8553,19.0874,19.1608,18.1102,17.6056,18.1728,19.463,19.3605,18.8932,Environment_1
G24,18.8866,17.7086,17.4232,18.8132,17.2433,17.8564,19.6479,17.5665,18.8425,19.9508,18.5581,18.9108,19.8056,18.1093,20.0448,19.0385,18.8882,18.1974,18.6344,19.4349,19.3589,17.9283,18.6867,17.9523,19.752,19.2517,19.3493,19.2089,17.9318,17.0373,17.1859,17.7402,17.2446,19.9957,19.1166,17.475,17.4524,18.8139,18.5617,17.4121,18.8372,18.0237,18.3378,18.7556,17.1906,18.2748,19.0368,19.0325,16.0753,19.6383,19.6705,19.7787,18.9047,17.201,17.9559,16.8633,18.9871,18.7002,18.8905,17.9832,Environment_1
G25,17.3598,20.0492,18.1424,18.5189,18.6053,17.885,16.0596,19.4595,17.0578,18.6365,18.6272,18.3513,17.8901,18.5144,18.5663,16.1081,17.9544,18.3495,18.6542,17.714,16.915,19.4286,19.4957,18.1192,16.7072,19.6112,19.758,19.1805,18.663,17.5486,17.0559,17.3284,19.3559,17.3512,19.6219,18.3636,19.621,18.2044,17.9552,18.1578,20.3578,17.9326,17.4461,18.744,18.8842,18.0048,18.6504,19.9029,18.9287,18.0529,18.6305,16.1128,18.5207,17.5032,18.4484,18.3442,17.0707,18.5071,17.6945,17.4375,Environment_1
G26,17.5775,18.3121,18.1474,18.0403,18.3159,21.4655,18.3003,18.4302,18.5636,18.2053,17.0173,16.9384,20.5527,19.2841,18.8762,18.2383,19.7943,19.7934,18.8126,19.3858,18.3443,19.4318,18.5079,19.5195,19.8739,18.7117,17.9648,19.8521,18.262,18.5343,18.6772,17.5135,18.4992,17.854,18.9982,17.5694,18.6516,19.3228,18.7764,20.0613,18.6834,18.9619,18.2901,21.0583,17.2626,18.9076,17.6301,20.0327,17.9139,16.36,18.6656,17.6414,18.5226,18.7249,18.4534,18.6959,17.2444,17.3812,17.406,19.5877,Environment_1
G27,17.9142,19.2288,17.2679,16.4828,15.9129,18.6515,17.8322,18.8287,17.8017,16.5699,19.9213,17.0339,17.4318,17.0708,17.7036,17.1547,17.0445,18.4059,16.653,16.6904,17.9135,18.8939,18.5972,18.0104,18.7423,18.6166,17.4739,16.958,18.6279,17.8503,20.0524,17.9206,16.14,17.1624,16.6136,17.881,15.5025,19.5006,17.6267,18.0147,20.6715,17.529,16.8723,17.4639,16.502,17.7907,18.2847,18.4453,19.5454,17.4651,17.1405,17.6455,17.7119,18.6658,18.3861,18.3868,17.6147,16.5086,18.5129,17.4422,Environment_1
G28,18.6203,19.2507,17.3987,17.5118,17.635,19.5188,17.0851,18.1274,19.1714,20.2542,17.5495,17.6697,19.7419,18.6381,18.3113,17.2694,18.29,19.4116,19.795,16.7114,18.3462,20.6904,18.6073,17.7695,18.1725,17.9434,17.6014,18.5051,19.0295,16.3829,19.0011,18.3752,19.4682,19.082,18.96,18.4566,18.0337,19.4093,20.1425,15.5531,17.7454,18.5276,17.9831,18.688,19.9071,18.2273,17.7505,18.9598,16.5352,17.1135,18.646,19.0103,17.6082,19.1566,16.3791,16.2618,19.5423,18.3113,17.2649,18.9393,Environment_1
G29,18.3323,19.3148,15.3754,17.8864,17.1604,17.5083,18.2781,19.6544,18.7335,17.4045,18.2669,20.0396,19.9349,17.8265,15.3649,18.1484,18.305,15.9456,17.4246,18.322,17.022,17.8294,18.1938,17.5722,17.6161,18.6143,17.619,20.3952,17.9125,17.5426,19.6881,18.3154,17.8288,17.9714,17.4554,17.968,20.0281,15.7298,17.6696,18.8662,16.9432,16.9085,18.2171,18.8024,18.2992,18.3878,17.8604,17.6326,17.1361,15.3789,16.5887,17.3871,18.4878,19.7292,17.9582,17.6379,17.0676,17.2377,17.0911,17.2471,Environment_1
G30,17.659,16.7237,18.5181,16.5813,18.3468,18.6082,18.0324,17.5887,18.7185,18.4728,19.2723,19.576,18.3454,17.1025,19.6,17.7749,18.2897,19.8835,17.3549,18.5984,17.655,18.513,17.7649,18.3485,20.0483,16.7991,17.9361,18.5688,18.2322,16.0482,19.1218,17.8673,19.7589,19.1692,18.3268,19.3677,19.0458,20.3259,16.3294,18.106,16.9168,18.7111,17.6585,19.1467,18.203,17.3496,17.3406,16.735,18.2967,17.5145,18.6941,18.9526,17.9883,17.09,19.1131,19.0559,19.0806,17.7116,17.5244,16.8588,Environment_1
