Genotype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Environment
Gen53,8.3805,7.7191,7.5153,7.8966,8.0847,8.5351,9.0005,9.4202,6.3391,9.605,Environment_3
Gen54,7.704,9.0511,8.8682,7.0125,6.8635,8.705,7.9635,8.812,7.2126,10.0418,Environment_3
Gen55,7.9476,7.675,6.7794,6.9704,8.8759,8.2232,9.9869,7.2644,7.6398,7.7373,Environment_3
Gen56,7.9355,8.4235,8.6466,7.6,7.7293,10.5961,7.6845,8.3843,9.2161,8.9087,Environment_3
Gen57,9.0382,9.2531,7.5207,7.8633,7.0222,8.2575,8.0197,7.866,8.3869,9.5983,Environment_3
Gen58,8.2194,8.5379,8.2356,6.203,8.0602,8.153,7.4148,7.4132,8.4465,8.816,Environment_3
Gen59,9.1014,7.3284,7.5011,5.8002,6.1227,9.1169,8.0966,7.9655,8.4594,6.0658,Environment_3
Gen60,8.0245,8.2912,7.3487,8.4702,8.931,8.2049,8.3881,10.0627,9.9076,8.0417,Environment_3
Gen1,17.952,18.0396,17.5308,17.9221,18.05,18.1091,15.9674,17.323,18.0892,17.5938,Environment_4
Gen2,19.6218,18.0426,19.4857,18.332,21.6859,19.4698,21.0001,20.6731,20.9199,19.6134,Environment_4
Gen3,18.5689,15.1837,18.2315,17.9975,16.9947,17.4103,19.3419,19.0418,18.4393,19.1189,Environment_4
Gen4,17.2776,18.1308,18.7381,20.1955,18.1325,17.2717,18.0181,18.8586,17.8614,17.6132,Environment_4
Gen5,19.2966,18.7642,18.4885,21.5942,18.8751,16.9877,19.6894,19.1116,20.2428,19.9635,Environment_4
Gen6,19.434,19.0887,19.6249,18.8171,18.5317,19.1715,17.9295,19.7354,18.7646,18.7711,Environment_4
Gen7,18.7122,18.8676,19.1818,16.9855,19.3456,18.9473,19.6319,18.556,18.3274,19.8882,Environment_4
Gen8,18.4723,17.443,17.942,17.4563,16.4364,18.9529,17.4714,18.491,20.1415,18.1826,Environment_4
Gen9,19.327,18.9815,17.1683,17.6732,17.6596,17.4538,17.4297,16.1263,18.3465,17.8138,Environment_4
Gen10,17.9477,18.3326,17.5531,17.9096,17.9258,19.6167,19.1949,17.5157,16.2758,17.8079,Environment_4
Gen11,17.9422,19.603,19.6081,19.8355,21.1235,18.6299,19.6502,18.9712,19.9839,19.7115,Environment_4
Gen12,17.3111,17.2817,18.4705,17.5657,16.1629,19.4958,17.3792,17.0968,18.5638,18.1996,Environment_4
Gen13,18.5912,16.3877,17.8024,17.1861,16.6347,16.52,16.9612,17.9764,17.9057,16.3919,Environment_4
Gen14,17.5587,16.6546,18.2195,17.0674,18.9128,18.6218,17.4725,18.2353,19.1457,18.3336,Environment_4
Gen15,18.0248,16.7396,17.4407,18.238,17.0886,17.4532,18.066,18.2858,16.9038,18.5608,Environment_4
Gen16,17.8207,20.1756,19.4178,19.004,19.5915,17.5336,20.4826,19.773,18.1508,17.3506,Environment_4
Gen17,20.2787,20.8601,19.9826,20.2283,20.4247,18.6505,20.0357,21.6828,21.9536,19.7592,Environment_4
Gen18,17.2115,17.9754,16.2132,18.4635,18.2026,17.0062,19.4862,18.1207,17.135,15.2405,Environment_4
Gen19,18.5445,18.9298,19.1763,18.4032,18.7717,18.5769,18.4855,17.6061,19.4019,17.584,Environment_4
Gen20,16.8153,15.9653,15.6143,18.0802,16.6614,16.1275,17.1943,16.0514,17.4763,17.209,Environment_4
Gen21,18.2826,17.4624,18.1686,18.5471,19.4326,16.3016,17.7476,15.4663,17.8094,18.0968,Environment_4
Gen22,19.8254,19.6906,19.3224,20.3222,18.5665,19.7174,19.8679,21.3669,22.3102,20.9856,Environment_4
Gen23,19.4368,19.8422,18.6417,18.4346,17.3843,19.51,18.2047,18.1181,20.1578,19.2122,Environment_4
Gen24,17.1549,17.0221,15.9175,17.0398,16.3895,17.5632,17.7755,17.2121,17.2366,17.3019,Environment_4
Gen25,15.9857,19.3792,20.2171,19.751,18.4901,17.8478,17.2269,19.7112,17.8498,16.91,Environment_4
Gen26,19.5993,19.4762,18.3493,19.1008,19.5048,18.5325,18.8608,19.0597,18.5205,18.707,Environment_4
Gen27,19.4542,18.4689,17.0587,18.3088,17.0446,18.3312,17.0294,17.0008,19.6164,16.724,Environment_4
Gen28,18.6344,18.0835,17.5461,18.9376,18.8479,17.8286,18.4961,19.2025,17.9563,18.4276,Environment_4
Gen29,17.826,17.0709,17.0505,18.9094,19.0767,16.6668,18.5104,18.5917,17.8168,15.4438,Environment_4
Gen30,19.3042,18.5757,17.3939,18.9182,17.3738,18.6731,18.0695,17.0405,17.8876,17.7281,Environment_4
Gen31,18.3312,17.0544,20.4464,18.7107,17.583,17.4093,18.0466,17.3277,17.7136,18.5188,Environment_4
Gen32,18.3488,17.2594,17.3991,19.3024,16.7996,17.9797,18.8978,15.8767,18.2253,17.3801,Environment_4
Gen33,16.4232,15.5178,16.8978,17.4203,17.1603,17.8847,16.6668,17.4918,17.3122,18.0308,Environment_4
Gen34,17.1783,15.9719,19.5835,17.0843,16.82,20.2982,19.0497,15.6767,16.9421,17.5965,Environment_4
Gen35,18.3386,16.1336,17.8192,18.0437,17.2811,17.5251,17.4029,18.3773,16.6484,16.9388,Environment_4
Gen36,17.1301,19.0121,14.8783,18.386,16.1702,16.5738,17.2838,16.2009,17.0777,16.7046,Environment_4
Gen37,15.7821,16.6303,16.2036,16.9387,17.1572,16.1323,17.0953,17.0739,15.8852,17.6121,Environment_4
Gen38,18.738,19.2099,20.3068,19.4597,19.5674,17.0755,17.256,17.0564,19.5943,18.8176,Environment_4
Gen39,16.5886,15.5043,17.8121,19.4963,17.2671,17.2202,16.3546,18.4234,17.5753,18.6353,Environment_4
Gen40,17.6165,19.0178,19.1423,17.9371,19.2285,17.9033,18.039,16.7453,16.9998,17.2142,Environment_4
Gen41,18.8239,16.1273,17.6265,17.5305,15.0089,16.9632,17.3174,15.3826,15.9989,17.2823,Environment_4
Gen42,17.1392,18.4439,18.9689,16.998,16.6091,18.0814,16.3298,18.1541,19.2629,17.4553,Environment_4
Gen43,20.4385,18.7989,20.6724,19.3286,18.5688,19.6594,18.8255,18.4347,19.4507,19.6314,Environment_4
Gen44,18.8754,17.9934,17.2956,18.1445,18.7596,17.9728,18.1354,17.7611,19.8834,16.7391,Environment_4
Gen45,17.8424,19.4464,18.0989,17.2994,17.9702,18.6364,18.0532,18.7556,17.3822,17.956,Environment_4
Gen46,17.8543,19.1921,18.784,17.9015,18.7161,18.8297,19.2951,17.1406,18.0996,19.0755,Environment_4
Gen47,18.9839,17.8809,18.2865,15.6779,17.0448,18.92,17.582,20.15,17.2652,17.0422,Environment_4
Gen48,16.9943,17.5673,19.1487,18.2339,18.4123,17.8797,18.0504,17.324,16.8708,16.792,Environment_4
Gen49,16.1571,15.7828,16.782,16.6735,17.9883,17.4392,16.0084,17.7401,16.2282,15.3846,Environment_4
Gen50,17.0681,17.7249,16.8364,16.1921,18.871,16.6832,16.3761,16.0417,17.2315,15.2472,Environment_4
Gen51,16.4346,19.1816,18.003,18.143,17.7847,18.626,17.2459,18.1068,17.1643,17.4167,Environment_4
Gen52,18.3521,18.9259,20.1446,17.8764,19.7463,19.3662,16.8082,19.4349,16.7623,18.2709,Environment_4
Gen53,16.3429,17.4293,16.1659,18.8703,18.2079,16.928,16.4145,16.747,16.4094,16.2039,Environment_4
Gen54,16.6043,18.1089,16.4236,16.8824,16.7894,15.7475,17.9559,17.4094,16.9644,17.146,Environment_4
Gen55,18.795,21.4884,17.9411,17.4872,17.9615,18.9326,20.8388,20.7362,19.5466,19.5196,Environment_4
Gen56,15.1386,15.2218,15.7942,17.0607,18.6305,14.2898,16.065,15.9319,18.4715,15.4665,Environment_4
Gen57,17.6429,16.6555,17.1151,19.1113,17.6909,17.9728,17.663,19.4477,17.4032,18.1822,Environment_4
Gen58,17.0098,17.387,15.6626,17.2755,17.2719,18.3806,17.4011,18.2261,16.1831,17.6421,Environment_4
Gen59,18.6049,20.1867,18.0286,17.1664,17.3731,20.0296,22.0477,19.6299,19.9294,18.725,Environment_4
Gen60,17.7075,18.3746,17.302,19.7143,19.0308,18.5668,17.0285,18.4889,16.4137,17.6109,Environment_4
Gen1,28.9355,31.5402,29.5808,31.4035,29.7949,30.5518,29.5771,31.3106,29.5961,29.9234,Environment_5
Gen2,27.7292,27.6909,28.7033,29.0324,29.0911,28.5226,25.7083,27.8976,29.1644,27.1204,Environment_5
Gen3,28.3021,30.0413,28.2825,30.6215,30.7482,28.6874,28.8893,29.3163,27.6628,27.9653,Environment_5
Gen4,27.3379,28.6787,28.5183,28.3776,28.6737,27.8091,27.8698,26.4579,27.689,27.5293,Environment_5
Gen5,27.051,25.4279,29.6094,27.0276,27.7497,27.805,26.5008,27.7864,27.8784,26.635,Environment_5
Gen6,29.3138,31.9686,29.5724,31.8269,31.6325,30.2753,30.4478,29.3908,29.7951,29.0082,Environment_5
Gen7,27.58,28.5305,28.5201,25.5068,27.72,29.2452,27.8657,27.2968,28.3591,26.2053,Environment_5
Gen8,28.1288,30.2843,28.7868,26.1985,29.5378,29.5719,29.665,30.3869,29.3693,28.5197,Environment_5
Gen9,30.6653,30.9952,28.8261,28.7176,29.0557,28.239,29.6443,28.4183,29.5639,29.1161,Environment_5
Gen10,27.8101,29.2199,27.4291,29.9069,27.6788,28.8058,28.3872,30.3894,26.3323,28.5803,Environment_5
Gen11,28.4456,28.4746,27.9972,27.9671,31.0602,29.7644,31.1373,26.7548,29.8979,30.1087,Environment_5
Gen12,29.2874,28.2908,30.5159,30.086,29.397,28.3147,27.0321,29.8651,29.2717,29.6594,Environment_5
Gen13,28.3875,28.0795,27.0204,27.8557,29.0283,27.6804,27.6726,29.1915,28.0757,29.7276,Environment_5
Gen14,26.573,29.1829,29.879,29.1231,29.9,29.2965,28.892,27.6306,28.2284,28.0129,Environment_5
Gen15,27.6474,30.8486,29.6503,29.4855,31.4913,30.4853,29.784,29.0518,31.1365,32.736,Environment_5
Gen16,29.3026,28.1748,29.0043,28.898,28.5282,28.1397,29.3424,28.4425,28.2429,29.2177,Environment_5
Gen17,26.9749,27.0966,28.73,26.6298,25.403,25.8389,26.4203,29.0334,26.9329,26.1157,Environment_5
Gen18,27.271,27.3042,28.4612,27.7247,27.7276,27.7561,27.1305,27.4121,25.3875,28.3986,Environment_5
Gen19,29.2124,28.9991,27.626,28.732,30.3328,28.2055,30.0006,27.8487,28.6034,26.7467,Environment_5
Gen20,31.2339,31.0507,31.073,30.7246,30.2343,30.5619,30.3291,31.8502,30.3818,31.1862,Environment_5
Gen21,26.3285,27.0523,26.0362,28.6589,27.4187,27.9954,27.8825,29.0164,28.6759,27.3173,Environment_5
Gen22,30.8665,32.1806,31.6987,32.8398,31.5281,31.5001,30.8267,32.7393,30.0133,31.0585,Environment_5
Gen23,30.3013,29.3205,29.7902,30.1059,29.6501,29.9037,30.047,30.6297,30.8018,31.9763,Environment_5
Gen24,26.6818,28.0052,28.5519,26.694,28.5073,26.3982,26.6811,28.4409,27.9675,28.9457,Environment_5
Gen25,30.0107,29.5973,26.5517,29.2843,28.173,27.942,28.4618,28.3216,27.5707,29.4777,Environment_5
Gen26,27.4085,27.7271,29.6136,29.124,28.6728,28.425,26.7044,29.4227,27.3751,26.5631,Environment_5
Gen27,27.1955,28.2796,29.8359,29.19,28.8728,28.8064,29.6206,28.669,27.582,27.2304,Environment_5
Gen28,28.0713,27.5445,27.3114,27.2688,27.8274,25.5193,27.3338,26.0127,27.153,25.9244,Environment_5
Gen29,31.0009,32.1503,30.0322,30.5651,29.0338,28.1829,28.4064,30.4191,30.6057,30.2557,Environment_5
Gen30,28.877,30.5712,31.1942,30.6325,30.09,29.0271,28.731,29.4528,30.135,30.0262,Environment_5
Gen31,28.9843,28.8235,29.0105,29.169,29.5502,26.5861,27.6217,29.5494,28.9543,29.4995,Environment_5
Gen32,28.3165,27.5995,26.4858,27.7128,26.8454,27.4188,25.887,26.5619,27.4804,25.8818,Environment_5
Gen33,27.2552,26.9434,28.3485,27.5527,25.9281,27.5797,28.7304,27.9177,27.6475,27.6501,Environment_5
Gen34,29.4627,28.8335,26.4173,26.3161,29.4097,27.0855,27.2318,28.9234,27.8829,26.1006,Environment_5
Gen35,29.1768,30.091,29.2184,27.0463,28.0744,29.0645,28.4556,30.1523,29.9307,29.5526,Environment_5
Gen36,29.809,28.7179,27.3058,28.9588,28.6749,28.9323,27.4465,29.5376,27.8638,29.8342,Environment_5
Gen37,31.6885,31.6182,29.7719,29.2543,32.3031,30.7658,32.2886,30.3041,31.3311,30.0934,Environment_5
Gen38,28.4176,27.0409,27.857,28.0404,26.1141,27.9237,25.7651,27.7378,28.4846,27.2174,Environment_5
Gen39,27.4198,28.1857,28.304,26.8231,29.5915,28.8096,28.439,29.5966,29.4573,30.1898,Environment_5
Gen40,28.2453,28.8287,28.9945,29.1142,27.6854,28.3048,30.076,28.1398,27.0604,28.0598,Environment_5
Gen41,25.0128,26.8254,26.873,27.227,25.8775,27.1834,27.1757,24.8238,27.1166,28.1712,Environment_5
Gen42,28.4709,30.0931,29.794,30.0855,28.9028,29.0931,29.8518,31.3246,31.3089,30.2836,Environment_5
Gen43,30.2193,27.8174,28.4326,28.3135,28.109,28.6569,28.3742,30.3572,29.2875,28.2399,Environment_5
Gen44,29.559,27.4651,30.408,29.3286,29.988,29.0739,29.1899,29.684,28.251,29.5921,Environment_5
Gen45,29.4516,27.706,26.9607,27.2722,28.3911,29.5095,28.9019,28.6069,28.7928,27.3628,Environment_5
Gen46,29.1267,27.9262,28.9544,29.2909,29.2215,29.2773,28.8623,28.53,28.7373,27.9891,Environment_5
Gen47,27.9215,27.7141,27.375,27.8826,25.2337,26.6531,27.5834,28.5608,27.5332,27.4144,Environment_5
Gen48,28.7362,27.0336,28.3937,28.0483,28.4322,28.6608,29.0447,25.467,28.0575,27.3647,Environment_5
Gen49,27.5865,28.7511,27.7024,29.2519,27.6688,29.0977,30.8267,28.947,28.4102,27.9273,Environment_5
Gen50,30.4214,30.0354,29.7772,30.2023,29.4138,30.0544,30.7864,30.3063,31.7221,29.9961,Environment_5
Gen51,28.2605,28.9233,29.6692,29.4824,29.6831,28.6565,30.7443,27.9782,29.0125,28.6182,Environment_5
Gen52,27.6458,28.3303,26.3341,28.1,28.8857,25.8842,27.974,30.078,29.8345,28.4248,Environment_5
Gen53,26.6615,26.7202,27.5158,27.8973,29.9348,26.0552,27.9047,28.0099,28.7346,28.3998,Environment_5
Gen54,29.4031,27.4008,28.4002,30.0455,28.7782,28.9569,27.0526,27.3561,27.7197,28.6727,Environment_5
Gen55,27.6946,29.8179,30.0032,30.8549,30.1721,28.0806,28.6937,28.211,29.159,27.7798,Environment_5
Gen56,28.5846,28.3765,27.0011,27.8627,29.323,29.0396,28.02,28.5431,26.5177,30.2904,Environment_5
Gen57,31.3457,28.0917,29.9878,28.7909,28.4968,29.7394,28.8882,30.8376,27.5429,30.8149,Environment_5
Gen58,28.1898,27.6527,28.4514,29.3605,28.5228,28.8811,28.592,28.4767,27.8178,27.6455,Environment_5
Gen59,27.94,28.6186,30.0329,27.6963,28.4218,28.7984,30.15,29.2234,29.4039,28.5039,Environment_5
Gen60,30.0484,30.2488,27.9601,28.345,29.6805,28.6848,29.6607,31.3362,27.504,25.8548,Environment_5
