Genotype,L118,L120,L121,L150,L152,L153,L154,L155,L156,L157,L159,L160,L161,L163,L165,L166,L17,L18,L19,L21,L30,L32,L34,L36,L37,L39,L43,L44,L46,L89,L90,Environment
G41,103.2887,83.9895,103.0146,82.0013,84.6476,98.6915,93.8347,97.6719,100.7894,104.6832,102.5847,87.9996,99.7231,109.2788,106.1608,78.0904,78.8291,101.5128,95.9997,63.5226,99.7927,85.1478,108.7521,91.04,88.9452,99.7451,101.7812,97.5742,101.2677,78.4824,103.8227,Environment_1
G42,104.7676,81.5395,104.0802,85.556,82.6854,99.678,95.7409,95.0831,99.4005,107.1377,103.7274,91.398,98.9651,102.1328,106.4279,79.706,77.5454,105.5265,98.3389,65.7063,99.845,86.8987,108.0931,94.6161,89.4931,97.7468,103.2983,99.0218,101.7781,83.4568,105.4526,Environment_1
G43,107.7875,83.8875,103.0537,83.0675,86.6439,100.5545,101.5171,96.5153,102.5226,107.3003,106.6587,93.0232,104.0541,106.7267,111.6232,78.5582,79.3148,105.2114,102.4678,70.106,100.8567,95.9721,110.6805,94.2458,94.3433,100.1676,104.946,102.1463,97.6947,73.9605,100.1794,Environment_1
G44,104.4081,84.3979,100.3502,82.0536,84.6163,99.2027,97.7998,96.5153,99.4811,105.6106,103.2793,92.6853,105.0679,109.7892,107.568,80.5858,79.9907,101.4941,100.1023,70.106,98.4912,89.2134,106.6253,92.894,88.0577,96.7883,101.9045,99.1387,99.7364,87.4779,101.8691,Environment_1
G45,103.2887,81.7437,96.9317,83.691,82.282,99.0295,97.2141,95.1197,95.0445,100.9659,99.8813,87.3237,101.7507,107.2371,107.1746,81.4697,76.4635,102.5266,98.0273,68.5917,99.4548,86.4995,107.0624,91.04,89.3845,101.0968,101.4432,96.3577,104.8407,83.2135,100.4433,Environment_1
G46,103.9866,81.6416,100.7388,84.2213,82.3511,99.078,98.5804,94.9321,101.1129,106.3482,102.6715,89.4623,100.45,109.7892,105.7113,81.566,82.8532,101.8747,99.491,71.363,100.8107,86.695,107.6811,91.9959,88.8213,97.2693,102.814,97.7466,99.7364,84.2165,103.5544,Environment_1
G47,104.7676,81.3353,98.6732,83.8663,81.6716,99.34,97.0927,93.3934,99.7385,102.7445,98.3204,88.3565,100.6548,112.8518,103.7244,80.3819,78.8971,100.7953,96.9872,61.6511,97.8173,87.2367,107.7552,93.9402,89.2904,96.0571,102.6225,94.6962,94.6321,80.0774,97.0042,Environment_1
G48,104.4103,81.3353,99.653,82.758,78.8222,96.9678,94.7273,95.1197,93.7416,104.0835,100.216,89.5955,101.1402,102.6432,103.9901,78.4356,79.8552,101.7828,96.8267,67.2739,95.1662,87.8615,107.4645,95.6039,87.3715,96.8415,100.4595,93.8441,94.6321,83.4998,103.6587,Environment_1
G49,104.4103,81.0291,101.0048,83.4339,84.5671,98.9955,95.7411,92.5676,99.4866,104.7593,100.216,88.2438,99.1126,110.2997,107.7075,77.7597,79.8552,101.1069,98.1785,63.8945,98.8835,86.5098,109.8301,93.2384,87.5743,97.8553,102.4871,96.6152,95.6529,90.2586,101.969,Environment_1
G5,105.8914,81.5339,98.5908,83.1279,81.2501,99.9034,98.207,97.6737,97.7457,100.5575,102.9276,89.5806,100.3237,109.4839,101.2977,79.4276,79.226,101.8087,100.7526,64.3497,99.6627,94.1991,102.671,95.6427,90.2243,96.4992,100.0611,95.2332,98.9592,74.9722,102.4969,Environment_1
G50,103.9866,78.0686,101.0767,83.8833,84.0408,99.7539,97.2287,94.9321,99.7612,104.3206,103.3474,86.7588,101.8017,109.2788,105.0355,78.1866,79.8118,102.2126,98.1393,64.2663,95.4037,87.7088,107.0052,87.9407,89.6324,94.5658,101.1243,95.4486,97.1842,83.5407,98.4853,Environment_1
G6,105.4677,80.9214,99.3386,81.5497,85.117,97.6204,97.3289,96.623,100.7238,101.1326,100.9899,87.4198,100.9853,108.4631,96.936,78.1648,80.5343,102.2385,98.3478,68.7767,98.2104,94.3843,106.6049,93.0485,89.2072,98.9546,100.7259,96.0943,100.4905,82.4477,105.772,Environment_1
G7,101.1797,81.8402,100.9903,84.912,80.3822,98.8962,94.1515,93.3946,101.0391,103.2739,102.7216,89.3555,97.8107,111.5256,100.3561,77.9945,79.2817,104.2007,101.251,67.8512,96.9068,96.6157,109.3824,93.3031,92.8191,98.7562,101.5482,99.4647,101.5113,82.3638,104.2909,Environment_1
G8,105.8892,82.3506,101.3156,84.4511,86.7063,99.0968,98.238,94.8268,99.43,106.14,104.3012,91.9945,99.5204,106.4213,100.8203,77.5226,79.3615,99.1545,98.2832,66.168,98.9324,88.1164,109.9422,93.2707,88.3084,95.0942,103.1959,95.5939,104.0635,87.0608,104.0867,Environment_1
G9,106.4595,82.5548,104.9938,84.0608,86.3996,101.965,89.2039,95.1215,100.7383,107.2401,106.986,90.6882,99.5825,107.9526,101.1028,82.4617,75.1585,104.9182,101.9532,76.4814,99.896,92.1613,114.7725,93.4443,89.5676,95.0096,107.8036,100.5178,103.553,88.2034,107.73,Environment_1
G1,61.9177,65.219,108.6789,121.1172,83.8204,73.3217,92.1712,73.1881,54.3772,74.7568,115.9431,92.2359,85.8903,122.4538,98.6461,165.8427,70.5095,78.7046,81.4876,60.79,104.7317,59.7483,112.6802,94.7008,63.4424,72.3955,95.941,60.8003,106.7243,84.958,103.8513,Environment_2
G10,71.9036,68.9285,104.0622,119.2592,75.7753,80.0625,101.1626,86.4506,66.2467,84.5275,122.2403,101.1336,90.7981,121.717,108.7801,166.1724,79.7013,90.7901,86.4096,70.3309,104.7302,74.7291,109.8719,94.2833,68.9128,83.2946,98.5771,70.1333,110.4084,84.0523,107.889,Environment_2
G11,62.2549,60.9615,96.5927,120.8279,81.4078,74.0531,86.5109,76.6812,57.3599,76.4381,113.1657,96.9024,90.027,123.9549,98.1498,164.5138,72.9612,80.4975,79.4319,59.6363,95.5616,65.3934,99.7336,91.7104,60.3404,74.5509,90.6595,63.3226,99.0029,79.6383,99.5606,Environment_2
G12,66.7486,62.6934,98.9953,119.6868,84.3462,76.4914,88.7238,80.2304,59.8331,79.575,114.6726,97.9145,89.4618,111.4291,99.4098,165.2396,73.465,83.1068,81.6446,62.3096,101.4837,66.4955,106.1044,92.8901,63.8838,78.8044,95.2844,66.7105,104.1605,81.3965,102.2555,Environment_2
G13,63.267,63.8092,99.0525,120.903,82.5719,75.2707,88.7313,79.7162,56.3545,77.7435,115.7765,97.0099,89.0116,126.1653,99.0778,165.2604,73.0103,82.5272,80.1971,61.7902,101.4078,64.3773,106.0762,92.8455,61.6994,75.7574,93.6016,64.1785,105.6341,82.7796,102.8719,Environment_2
G14,66.1288,63.009,99.0451,121.6469,82.6644,76.0203,87.5337,78.02,56.4303,77.043,116.7276,98.3276,90.9758,115.85,100.6349,165.1452,71.2025,81.1927,78.5061,61.2447,101.9064,65.3555,104.9931,92.8968,60.4453,76.9766,94.9509,63.3167,107.1078,81.3393,102.051,Environment_2
G15,63.267,62.9607,100.3252,117.5091,82.9961,73.1496,90.004,79.7162,56.3545,77.3193,119.1703,98.7068,88.1631,115.85,105.4413,166.5331,73.4345,82.9514,81.894,61.7902,101.8321,62.6804,106.5004,91.1486,60.4267,77.8786,96.147,65.8754,109.3182,83.6281,104.9931,Environment_2
G16,67.8257,63.8575,100.3178,117.8288,81.816,77.7172,92.6245,80.2304,61.9453,83.8307,114.1822,97.4791,90.1274,119.534,103.1803,166.4179,75.0206,85.4351,82.7484,65.9112,101.9064,67.0524,105.8416,92.0483,64.2634,79.0977,94.9509,67.559,113.0022,82.1877,102.8994,Environment_2
G17,65.0517,65.2388,98.1468,117.9899,82.225,74.3702,87.0269,78.02,55.5908,77.4539,113.3999,94.9449,90.3103,117.3236,100.2583,167.3608,73.465,81.8341,79.9476,62.3096,105.3018,64.3743,102.7106,95.0113,60.4899,76.6832,93.1632,65.0136,103.4237,80.1238,101.8313,Environment_2
G18,63.1748,64.7245,96.8169,121.2168,80.9664,71.4051,86.541,77.1954,54.6234,76.1224,112.6284,93.3781,91.8793,118.7972,100.0304,166.9685,69.6551,78.325,76.7624,58.8406,92.6448,59.2918,99.1387,91.2304,60.7855,73.6734,90.6573,62.3351,101.2133,80.876,100.3645,Environment_2
G19,60.558,63.9311,97.4411,119.9794,79.7108,69.3865,83.9655,77.9538,50.9964,75.1654,113.5899,96.9024,88.7543,124.6917,98.9982,167.0592,70.4158,77.5279,77.3108,57.0909,93.4404,58.6057,99.3093,91.7104,58.2193,72.0055,91.0837,60.7772,99.7397,75.8202,102.106,Environment_2
G2,71.0708,66.4017,106.9247,121.3745,85.9557,78.4169,95.0791,86.716,63.5913,85.728,118.9896,98.7295,92.9743,124.6643,100.5394,165.0262,78.1538,86.2255,85.9385,64.5329,104.8017,69.5138,107.4113,93.4653,66.7076,80.4158,97.6773,70.0002,105.9875,82.7406,99.4149,Environment_2
G20,63.1748,63.8761,97.6653,119.9441,80.5422,73.102,88.6621,78.0438,54.6234,76.9709,112.6284,94.2266,91.0309,113.6396,95.3639,166.9685,71.7762,79.1735,77.6108,59.6891,93.4932,63.1098,98.2902,94.2,60.3613,74.9461,90.233,62.3351,100.4765,81.3002,100.3645,Environment_2
G21,66.3239,63.9129,99.0191,128.1952,82.1852,75.486,91.0974,83.0848,56.4207,78.6195,116.3569,100.1866,90.807,119.0437,106.0146,165.8709,74.213,84.5985,81.8085,62.4229,101.3074,65.0146,104.8652,93.4965,62.6921,77.4328,95.236,65.1259,103.1909,79.807,104.583,Environment_2
G22,65.4911,61.8103,100.1847,118.8563,83.0326,77.6584,93.0743,82.6569,58.0075,81.0927,119.0454,100.3279,89.1651,116.0965,103.2889,165.1489,74.7868,87.2457,83.8828,62.14,103.9242,67.0112,107.4954,96.0724,63.8808,77.9477,96.8817,66.6897,108.3486,86.5557,106.2903,Environment_2
G23,65.4197,61.4411,97.8393,121.0127,82.6254,75.2157,87.5292,78.7488,56.5017,78.0145,115.3404,96.6403,89.8582,120.5173,100.5598,166.0881,72.5778,83.0548,81.0374,61.663,100.4776,65.0525,102.5753,90.189,62.163,76.2798,93.0658,65.9803,103.9277,82.3483,102.5168,Environment_2
G24,66.4318,65.5614,97.7538,120.6636,82.5168,76.8576,91.0223,79.6627,58.8902,79.7442,114.1331,95.8993,89.6912,116.8333,101.4878,166.4104,72.6269,82.9633,80.1056,64.2411,101.6573,67.006,103.4029,92.1725,64.3705,77.9105,93.0383,65.9877,103.1909,84.6412,100.3131,Environment_2
G25,66.9438,63.5972,98.545,118.1747,82.17,76.3813,91.0149,77.9271,57.2781,79.4546,113.8777,96.3797,89.293,121.2541,100.5472,165.9654,71.3847,82.2703,79.4319,62.2151,97.9151,66.5788,99.6131,91.3687,63.161,77.5637,90.903,65.1259,102.4541,82.8339,99.6967,Environment_2
G26,67.1166,63.5623,97.4151,119.74,82.6254,75.2157,89.2262,80.0215,57.3502,79.7115,112.795,96.2161,88.1612,120.5173,100.5598,166.9365,71.7294,82.6305,79.3405,62.0872,101.7502,66.3252,97.9087,93.1586,62.163,76.704,91.3689,65.1318,102.4541,81.4999,99.5472,Environment_2
G27,67.7045,65.5614,103.693,119.3909,87.1834,79.8272,94.8404,84.3293,58.466,84.4107,120.9208,99.7174,91.8124,119.0437,107.0028,166.8346,74.7481,87.2056,84.3479,64.6653,105.0511,68.7029,108.9179,91.7483,68.1885,81.3044,99.826,70.23,110.559,86.7624,107.9493,Environment_2
G28,60.5803,60.6276,98.545,121.5686,82.17,71.2905,83.3787,75.7167,53.8842,76.0607,113.4535,95.107,90.1415,115.3597,99.6987,166.8138,71.3847,78.8764,78.5835,58.3971,96.6424,58.0942,100.8858,94.7625,58.4944,73.7456,91.7515,61.732,110.559,82.4096,102.6663,Environment_2
G29,64.627,64.3371,98.1706,120.559,81.3367,75.0617,89.8247,80.1376,57.2691,77.3468,115.9327,98.0654,90.3828,112.4124,100.9238,164.174,72.9403,82.9015,80.5358,61.9987,101.7316,65.0146,104.8652,93.0723,58.874,76.1601,93.1149,63.4289,105.4013,84.0493,102.886,Environment_2
G3,66.9207,63.3652,99.8273,119.3637,84.5915,75.4949,90.4817,81.1764,60.2316,78.4402,116.6227,97.6948,94.3488,121.717,100.4353,166.7119,73.4486,82.7915,80.4644,65.3613,102.5347,65.2662,105.44,93.3835,63.8034,78.2574,93.8339,65.056,102.3035,82.0988,102.7708,Environment_2
G30,67.188,63.9315,98.912,119.2805,82.6083,76.3857,88.4078,81.8084,60.5529,81.0927,114.8031,99.4794,90.862,115.3597,101.592,165.9973,73.0898,83.4277,81.3374,62.9885,102.6515,66.1627,103.6773,90.5574,64.305,77.9477,93.4878,66.6897,103.1909,84.0103,104.1692,Environment_2
G31,69.7743,67.277,100.3713,121.1652,85.392,77.6711,90.7149,82.6433,63.0039,82.4205,116.5123,98.9072,90.1779,112.2618,103.5911,166.1275,76.5261,86.0482,84.7982,66.3146,102.7348,69.8388,107.7292,90.5838,64.3705,79.6037,96.2764,69.0525,107.3132,84.8974,103.2694,Environment_2
G32,63.2472,63.5808,97.063,122.3627,82.531,72.6353,90.1914,79.184,55.5246,75.6,112.6288,98.7997,89.0722,119.6299,98.4208,165.3809,71.3862,78.0793,78.518,59.9185,96.8885,63.2187,97.1443,91.1456,60.4661,75.4276,90.3647,62.6816,102.1555,82.1803,99.5339,Environment_2
G33,63.0744,61.0704,97.3444,119.949,81.6513,72.104,86.4651,78.6829,55.4525,77.4643,112.8631,98.1149,88.9313,119.6299,100.9536,165.6824,72.7385,81.9613,79.458,61.3191,96.8714,63.4723,100.1213,90.2042,60.6156,76.2872,90.323,62.6757,101.4187,83.5143,95.441,Environment_2
G34,69.2578,64.3743,100.2568,116.8124,82.0896,78.4719,90.2215,80.1224,60.4243,80.7994,114.2127,97.3966,90.9245,125.5243,103.271,165.2902,75.292,84.3914,82.6361,64.2136,102.0321,66.0259,105.0341,92.7867,65.1535,78.7925,95.4532,70.1787,104.3659,81.7211,103.3073,Environment_2
G35,65.8484,63.9314,98.667,119.7879,81.2423,75.451,88.2446,84.5774,57.1405,77.0534,114.0696,100.6491,90.021,111.525,103.0271,166.0122,74.7183,83.8653,82.2588,64.9207,101.1122,64.4535,105.3735,93.6047,62.2679,76.5806,95.0803,64.3726,105.1028,81.7601,103.2969,Environment_2
G36,66.2168,65.2778,97.9115,118.9689,81.6825,76.4534,90.1914,79.184,57.2215,77.7212,113.9015,97.527,90.7691,122.5771,103.0873,164.5324,72.2347,82.7458,78.9423,62.8881,98.5855,64.9157,103.5078,90.2971,63.86,77.1245,95.0312,64.3786,104.3659,82.1803,103.3519,Environment_2
G37,67.7409,64.04,101.1625,117.8278,84.6209,78.4675,91.9801,77.2093,59.6948,77.4643,115.4085,98.1149,93.1736,122.5771,103.9232,166.1067,71.4658,82.3855,80.3064,64.2887,101.1137,66.4419,103.9394,92.3253,63.161,78.8326,95.4138,66.918,105.8396,83.5143,103.0772,Environment_2
G38,66.2882,66.4954,96.863,119.3578,82.9381,75.5023,88.9488,78.4255,58.7273,76.5571,112.0915,95.2754,89.6518,115.209,95.2107,166.5629,71.474,80.9976,79.2423,62.0924,98.6383,64.329,99.0948,87.696,62.1839,77.0955,91.6351,64.2395,101.4187,84.6907,100.7619,Environment_2
G39,67.2289,63.4589,96.129,116.9228,82.4224,76.3984,89.4422,79.6737,57.9131,76.9055,112.6943,95.0891,90.1779,115.9458,98.0761,166.1275,71.0111,81.8059,78.859,62.4966,99.341,65.5964,99.2446,91.4322,62.6735,76.6341,92.0341,64.386,99.9451,85.3216,101.1482,Environment_2
G4,68.8782,63.4871,107.1248,120.1371,86.8213,81.9134,95.049,84.0806,63.7824,85.1952,115.2846,99.2842,85.6069,113.6122,106.7192,165.9654,77.2176,86.701,84.79,65.3286,106.87,72.2216,110.1274,92.6726,68.8079,81.7175,101.4976,70.1393,108.9347,83.1998,109.2168,Environment_2
G40,67.5453,64.7799,96.97,120.2122,82.0907,75.451,89.9415,77.9461,57.9889,76.205,112.3726,95.5583,90.4452,118.1563,99.209,165.588,71.7487,81.7441,79.7134,61.9511,99.4153,65.7262,100.2827,91.4836,63.5406,77.429,91.6864,66.0695,102.1555,82.6086,100.7515,Environment_2
G41,66.3388,62.268,97.0749,120.5189,81.5959,75.8604,84.8024,75.5991,58.2009,80.3692,111.8376,92.8111,88.1798,120.9802,100.172,165.7341,73.0103,82.9343,80.5432,61.6332,100.1611,64.99,100.6698,91.2192,62.5025,77.0353,93.2844,65.9877,103.6428,80.8659,100.7998,Environment_2
G42,65.1739,62.6439,97.0823,121.4719,83.6244,77.232,85.5757,75.7769,58.125,80.6454,112.5834,95.3115,90.4579,121.717,99.8876,165.8493,72.6968,83.4202,81.3857,62.1787,100.0868,65.2845,101.3286,91.1679,62.9081,76.6646,93.6321,66.0011,102.906,84.4274,101.6208,Environment_2
G43,68.4042,64.4628,99.7132,119.6998,83.733,78.1355,90.9915,81.2265,59.9789,81.4612,115.9119,99.0221,91.8975,124.6643,104.8988,166.7997,75.1931,84.3602,82.7417,64.6913,103.9978,67.5733,105.5917,93.4266,64.943,78.852,95.7808,65.9937,106.5901,83.4073,103.8245,Environment_2
G44,68.4042,63.6143,98.8648,120.1241,83.3088,77.287,88.8704,81.2265,59.1304,81.037,114.6392,98.1736,89.7764,115.0858,105.323,167.6482,74.7689,83.5117,81.0448,63.8429,100.1798,66.7249,104.319,93.8509,64.5188,78.0035,93.6596,65.9937,105.1164,80.8619,101.7033,Environment_2
G45,66.3388,63.9649,99.6203,119.2462,83.717,76.7088,87.3478,80.7567,58.2009,78.248,115.6557,100.023,91.5737,120.2434,100.5962,166.5825,72.586,83.7827,81.8159,64.1786,101.0096,65.8385,106.609,96.31,62.5025,78.7322,94.9814,65.9877,105.1164,80.8659,101.2241,Environment_2
G46,68.8998,63.5593,97.392,117.5434,83.2917,75.9117,88.4762,78.3469,56.3939,76.0548,111.9807,95.4978,89.9318,112.1385,106.7794,165.012,71.0386,82.1877,78.3752,61.7745,101.9295,64.4413,98.2092,89.1285,61.1458,78.3987,91.112,66.7031,101.4324,83.7965,98.6891,Environment_2
G47,63.9012,63.9166,97.5066,119.775,81.5033,72.5654,86.0,80.8677,54.7312,75.9789,114.2804,96.16,90.4579,120.9802,101.1603,164.1524,70.9999,79.1779,77.5677,58.7848,98.8141,61.0422,102.177,97.1071,58.6658,75.8161,91.5109,61.7588,100.6956,79.7609,99.4996,Environment_2
G48,71.2009,65.3462,100.8431,121.5284,82.8533,77.6042,99.5679,85.1776,62.0279,84.1739,116.9946,101.3069,91.7566,120.2434,102.765,164.9801,74.8485,86.5453,83.2574,64.395,105.2534,68.6754,105.5992,93.7579,65.0925,79.2873,96.1633,69.3816,103.6428,86.8624,105.2467,Environment_2
G49,63.989,63.6493,99.5705,120.2557,82.4291,76.7557,94.9014,80.7567,56.5129,81.2043,117.843,98.3372,90.0597,112.8754,105.3104,166.677,73.5758,83.9999,82.8332,63.1223,105.2534,66.9785,105.5992,93.7579,63.8198,79.2873,94.8907,67.6846,105.1164,82.1959,103.1255,Environment_2
G5,60.645,63.5221,96.8005,118.996,80.0024,70.3521,84.1108,79.8193,55.2257,72.6356,115.0946,97.7509,92.678,119.5066,97.7977,164.9942,71.3579,79.1288,77.6695,57.8204,97.5198,58.8998,99.9532,90.8827,59.2001,73.6682,91.2744,59.9518,99.3563,84.958,99.609,Environment_2
G50,65.9302,63.5593,97.392,119.2403,82.019,73.7905,86.355,77.9226,55.5454,76.0548,112.405,95.0735,89.9318,119.5066,101.6886,165.8605,72.3113,80.915,79.2237,62.1988,96.8387,63.1686,99.4819,92.9466,61.57,76.2776,90.2635,63.3092,99.222,79.5542,101.6587,Environment_2
G6,64.2831,64.7048,96.319,120.526,82.5619,76.72,87.443,85.4433,59.349,79.7888,118.1412,100.4264,90.8531,120.2434,103.509,165.4504,76.0327,87.074,84.6658,63.6845,102.6805,66.1199,104.8659,93.4653,63.738,77.0219,94.7077,65.7579,100.8299,83.1648,104.9299,Environment_2
G7,67.7691,65.4863,102.797,121.0606,87.5612,79.313,90.906,82.8734,61.5043,84.8037,121.2892,99.3917,93.0761,118.7698,103.8291,166.7119,75.1455,87.0338,85.1309,64.5128,106.777,66.1147,110.955,93.8077,68.0457,80.8028,98.9247,70.1467,108.9347,82.523,106.5888,Environment_2
G8,64.6359,63.9114,99.9129,120.5613,83.4274,74.2772,88.6856,82.8079,58.6916,78.4075,117.4057,98.4357,92.3946,112.1385,98.2345,165.9654,74.6722,82.4587,81.8204,65.3286,102.2035,65.8581,104.6124,95.218,63.2929,78.3236,94.7099,65.897,105.9875,84.0482,102.8533,Environment_2
G9,68.0855,68.5043,103.2137,117.138,85.1083,77.9414,93.9507,84.2402,61.5802,83.679,121.8161,102.4062,89.1012,113.6122,108.3558,166.1724,75.8832,86.5478,84.7126,64.3916,104.7302,68.7898,109.0235,92.5863,65.0947,81.1735,99.8498,68.0122,110.4084,85.325,107.0406,Environment_2
G1,39.6495,32.9812,40.0223,35.2761,36.2559,47.1804,44.0936,49.5603,40.372,40.8228,41.2328,40.5566,36.0207,40.9065,40.582,46.4515,39.6325,52.5953,51.0689,35.7643,32.1077,45.5588,39.3038,39.8402,36.6068,37.8433,39.1188,43.1674,39.1637,47.9686,37.6407,Environment_3
G10,29.546,36.0874,40.8864,40.4602,29.9651,41.756,47.1818,46.337,43.164,41.6277,40.9744,42.8126,35.7041,41.5512,40.6101,44.9814,34.8927,50.227,47.5552,35.5737,39.6592,43.1543,40.4215,38.2243,37.6345,36.3376,42.031,40.2436,42.258,50.7719,44.0819,Environment_3
G11,26.4852,33.8064,38.5223,47.7455,34.2062,44.8151,50.1039,46.8533,43.5012,41.3576,43.349,44.1682,35.0081,42.2979,38.7089,42.1236,40.0372,55.6954,48.1683,39.4895,39.4696,44.4731,39.0593,33.2766,33.9172,40.7503,44.4035,44.7676,41.4773,46.3328,42.2822,Environment_3
G12,30.1705,34.4318,40.817,41.8811,33.2976,45.1239,43.9511,45.7503,39.855,42.2388,39.281,48.7437,33.291,41.3953,37.8538,38.3636,33.3093,48.441,47.4139,36.5296,39.1475,42.4862,40.7273,34.1535,34.7228,35.1727,40.8298,38.0317,40.059,48.8327,36.3477,Environment_3
G13,29.4221,34.1537,40.1106,44.9102,34.4883,49.1256,43.9037,51.3304,45.5891,42.6802,39.3436,39.7971,35.2928,45.5856,37.9893,47.5416,42.6775,56.4917,53.0136,40.5808,40.2069,44.1668,41.0358,41.6102,36.5027,39.6621,45.6952,46.2014,41.0905,49.6633,41.8014,Environment_3
G14,27.9691,34.167,39.7213,46.2029,31.7104,44.5991,43.9037,47.6842,42.2158,40.5626,41.3744,41.9845,36.5021,38.6878,39.4498,49.0445,41.7396,54.3432,51.426,41.9441,38.8596,43.6094,40.6691,40.1809,35.9464,36.5361,42.958,40.9208,36.3201,50.2641,39.8099,Environment_3
G15,33.2477,34.1537,40.8946,45.8509,32.1365,44.422,50.1751,47.0187,43.982,39.4621,38.9517,46.0685,34.1169,41.9111,41.517,47.1496,37.8171,52.1409,48.9372,36.5827,33.9354,44.1668,41.0358,40.16,35.6012,35.5073,42.9514,41.9603,39.9301,50.212,40.4687,Environment_3
G16,36.7178,34.3238,37.7614,46.1245,34.0622,45.8926,43.9037,48.3289,38.2569,40.688,41.3744,43.5524,34.5423,43.7805,37.098,49.0445,37.9375,53.5593,51.3868,37.3581,39.2515,46.7451,40.2771,37.398,35.9856,37.4769,38.2544,41.5362,40.5748,46.6188,42.6713,Environment_3
G17,31.0328,33.2559,40.0331,44.1937,34.8655,43.8304,43.9511,50.2628,44.8722,41.3804,42.4167,42.8642,34.467,39.0746,36.6779,43.8512,46.1658,56.7507,54.1557,45.7017,34.0519,46.4058,40.3354,39.5234,38.4073,37.2736,40.0459,46.22,42.1219,44.7171,41.3257,Environment_3
G18,28.7668,29.6676,38.5572,43.1509,32.8666,43.7281,40.7917,47.5195,40.5905,38.9521,34.1264,44.7364,34.278,42.4912,37.2386,46.3099,42.7702,51.4762,47.4019,38.302,32.9107,41.7249,38.8903,38.5479,32.2331,36.6561,36.6365,41.3074,35.1597,47.7355,40.6606,Environment_3
G19,32.0511,32.3954,39.3063,46.9615,32.2464,44.4623,43.8325,46.8533,44.3635,40.5148,38.2534,45.3441,33.4402,34.3687,36.3571,46.0433,40.2724,49.7375,46.8356,39.9991,31.6302,44.865,40.2352,35.158,35.4851,38.085,34.9963,43.09,32.3232,45.9801,40.3224,Environment_3
G2,20.9522,30.7648,38.5465,40.0736,31.5132,44.8438,44.0698,46.7003,42.4794,41.9183,21.1835,45.9565,35.0479,39.8751,34.8712,39.5031,39.1374,49.4766,48.3916,36.4392,26.263,45.5815,39.0347,39.2958,37.2529,33.7294,26.6941,43.4485,27.3022,45.4995,39.9546,Environment_3
G20,27.3557,34.4888,38.5572,39.2704,38.3541,46.5503,43.9274,47.5195,44.1574,41.7547,35.6943,42.3846,35.4539,43.2004,39.5904,40.8224,44.926,54.3768,51.5176,42.7312,30.5589,44.0767,39.6743,35.4513,39.0141,41.3754,36.2445,44.4079,33.3547,47.9315,44.1491,Environment_3
G21,22.8197,33.4156,37.1263,45.3716,33.0344,40.1249,43.9037,46.2792,41.7982,40.3093,29.1628,44.4143,33.6674,36.5739,36.483,40.4415,35.077,48.9471,48.7656,41.1413,29.7707,43.6331,40.0941,38.3461,37.2173,34.621,27.8598,40.469,32.3115,48.0193,37.3319,Environment_3
G22,32.5073,33.5414,39.8819,41.4181,33.0147,46.1917,47.0631,48.625,41.5447,42.9007,35.2417,44.4224,33.4031,30.7721,37.7995,44.7623,37.1659,51.3717,50.8954,41.5365,27.7416,46.4522,35.1796,38.1633,34.5623,37.9237,36.825,44.6931,34.1166,49.724,40.2209,Environment_3
G23,31.7778,34.1133,39.455,47.6197,36.3141,45.0053,46.9682,52.6624,41.0453,43.5306,40.1527,45.4221,34.5252,45.4056,35.7421,45.6716,40.3908,54.2581,52.4457,42.136,34.6924,45.6727,39.6602,38.4188,39.4998,39.1017,43.4161,43.7161,38.2423,47.3022,37.2173,Environment_3
G24,30.0268,31.9128,37.9076,47.2146,32.6766,44.4946,40.7679,48.5163,41.2126,41.2353,41.6348,45.3626,36.3778,44.0519,36.1984,46.7779,40.4441,51.9971,50.0005,41.3066,38.5654,44.1905,38.8929,37.306,36.2841,37.1198,45.4918,45.338,38.887,46.8697,34.2279,Environment_3
G25,31.5748,31.2894,39.0059,45.7534,33.8377,45.7061,43.9511,48.8578,45.3561,39.6612,33.3409,44.5101,33.984,39.8616,41.9424,34.8562,44.5596,53.5888,51.3386,41.0576,37.898,47.2135,40.5443,38.6293,38.4239,38.3845,43.7621,43.0793,37.4687,46.8231,38.4166,Environment_3
G26,31.3545,33.643,37.4952,48.9916,33.9623,46.9652,50.1039,48.7428,45.1218,41.2924,40.9366,44.2462,32.9573,42.2468,41.2297,41.7519,42.7034,53.7486,52.4457,41.1169,35.4763,39.7932,40.0522,36.8509,40.5189,38.3648,44.2001,47.7691,41.8524,48.0861,37.1781,Environment_3
G27,33.5232,30.9721,38.6915,44.4708,32.2846,38.8894,40.7679,43.4207,40.8206,41.5136,41.2429,42.6188,34.026,44.3097,42.0779,40.8984,35.1526,47.8423,46.904,37.191,37.7815,42.2307,38.109,41.1865,32.3253,34.0468,38.0444,38.6707,37.0819,47.4577,36.8541,Environment_3
G28,38.7557,33.9939,39.3979,44.1071,38.1493,48.7242,47.0869,48.8578,43.7882,41.327,45.4919,46.8619,33.2001,43.2138,39.1986,43.0875,42.2862,50.6883,50.633,40.6656,32.4104,43.2938,39.7604,37.4926,37.444,42.7432,40.6264,46.3326,42.8838,49.1749,40.5724,Environment_3
